Year,count,sex
2016,1020,M
2014,330,M
2012,972,M
2010,285,M
2008,1056,M
2006,297,M
2004,1074,M
2002,273,M
2000,1113,M
1998,243,M
1996,1044,M
1994,222,M
1992,1287,M
1988,1212,M
1984,1110,M
1980,1101,M
1976,1059,M
1972,1104,M
1968,981,M
1964,939,M
1960,831,M
1956,858,M
1952,837,M
1948,834,M
1936,939,M
1932,690,M
1928,717,M
1924,912,M
1920,1383,M
1912,948,M
1908,846,M
1906,462,M
1904,477,M
1900,573,M
1896,186,M
2016,954,F
2014,273,F
2012,900,F
2010,231,F
2008,915,F
2006,231,F
2004,891,F
2002,210,F
2000,849,F
1998,189,F
1996,732,F
1994,105,F
1992,669,F
1988,579,F
1984,534,F
1980,450,F
1976,414,F
1972,258,F
1968,258,F
1964,246,F
1960,186,F
1956,150,F
1952,144,F
1948,105,F
1936,75,F
1932,51,F
1928,81,F
1924,36,F
1920,45,F
1912,30,F
1908,18,F
1906,6,F
1904,18,F
1900,12,F
