count,season,cityl
13155,Winter,Vancouver
13110,Winter,Torino
3285,Winter,Squaw Valley
14643,Winter,Sochi
6357,Winter,Sarajevo
4857,Winter,Sapporo
4890,Winter,Sankt Moritz
12297,Winter,Salt Lake City
3159,Winter,Oslo
10767,Winter,Nagano
9414,Winter,Lillehammer
6189,Winter,Lake Placid
10800,Winter,Innsbruck
5580,Winter,Grenoble
2610,Winter,Garmisch-Partenkirchen
3831,Winter,Cortina d'Ampezzo
1371,Winter,Chamonix
7854,Winter,Calgary
10233,Winter,Albertville
22779,Summer,Tokyo
41253,Summer,Sydney
12849,Summer,Stockholm
3720,Summer,St. Louis
35760,Summer,Seoul
24021,Summer,Roma
40995,Summer,Rio de Janeiro
21237,Summer,Paris
30429,Summer,Munich
21408,Summer,Moskva
25557,Summer,Montreal
25461,Summer,Mexico City
14139,Summer,Melbourne
36777,Summer,Los Angeles
66693,Summer,London
24351,Summer,Helsinki
19281,Summer,Berlin
40677,Summer,Beijing
38592,Summer,Barcelona
41058,Summer,Atlanta
46485,Summer,Athina
12675,Summer,Antwerpen
14628,Summer,Amsterdam
3,Season,City
