avg_height,avg_weight,sport
172.009,72.54177,Wrestling
168.56622,78.15706,Weightlifting
181.04582,78.59256,Water Polo
186.46852,78.37422,Volleyball
172.47305,73.28144,Tug-Of-War
173.64084,61.82987,Triathlon
166.61185,59.414474,Trampolining
176.6655,68.79724,Tennis
176.64735,67.94122,Taekwondo
171.24101,64.914185,Table Tennis
168.62073,56.405735,Synchronized Swimming
177.24734,69.33618,Swimming
0.0,0.0,Sport
173.46689,68.74609,Speed Skating
169.49582,67.20293,Softball
173.08333,69.48397,Snowboarding
175.55885,64.85747,Ski Jumping
175.5404,72.84344,Skeleton
170.10988,64.28254,Short Track Speed Skating
172.6922,70.37527,Shooting
176.44388,72.85003,Sailing
172.82802,66.58599,Rugby
175.33444,78.9398,Rugby Sevens
180.81677,75.96795,Rowing
171.0,64.0,Roque
167.97713,49.76067,Rhythmic Gymnastics
171.83333,64.0,Racquets
171.12222,64.0,Polo
175.60631,66.320435,Nordic Combined
171.625,64.8125,Motorboating
176.28658,68.63722,Modern Pentathlon
171.0,64.0,Military Ski Patrol
176.2861,76.40191,Luge
171.1,65.48333,Lacrosse
173.84146,77.3001,Judo
172.5,64.0,Jeu De Paume
177.60333,77.99817,Ice Hockey
172.88739,68.08391,Hockey
182.316,79.920044,Handball
165.37027,59.159466,Gymnastics
172.7269,67.18908,Golf
171.0128,66.9493,Freestyle Skiing
174.0391,68.34074,Football
169.08307,61.139954,Figure Skating
175.01604,68.537,Fencing
173.44533,66.76058,Equestrianism
167.81279,61.56714,Diving
174.75783,68.38109,Cycling
174.13696,71.195656,Curling
172.90306,65.54913,Cross Country Skiing
171.0,64.0,Croquet
171.0,64.0,Cricket
177.8023,75.256516,Canoeing
172.37569,64.93531,Boxing
178.75638,82.32134,Bobsleigh
173.857,66.48058,Biathlon
185.6128,78.35524,Beach Volleyball
171.0,64.0,Basque Pelota
187.98598,81.63009,Basketball
181.95735,84.52581,Baseball
174.01991,67.89389,Badminton
175.48697,68.451866,Athletics
171.0587,64.17612,Art Competitions
172.87164,68.925415,Archery
171.0,64.0,Alpinism
172.79137,69.811584,Alpine Skiing
171.0,64.0,Aeronautics
